actual,predicted,error,abs_error
1438037.0199999993,614095.141263162,823941.8787368373,823941.8787368373
1170623.7700000007,346792.4029791501,823831.3670208505,823831.3670208505
1576341.3999999985,752521.3604437868,823820.0395562117,823820.0395562117
980827.62,162464.3034424416,818363.3165575584,818363.3165575584
1832629.3499999987,1015469.7112305533,817159.6387694454,817159.6387694454
1014492.3799999994,197539.04604668153,816953.333953318,816953.333953318
1291296.7000000002,477372.3819822585,813924.3180177417,813924.3180177417
1007123.7500000003,196337.03402141487,810786.7159785854,810786.7159785854
1036875.4399999995,227194.10332085783,809681.3366791416,809681.3366791416
949639.8799999997,144706.37831776036,804933.5016822394,804933.5016822394
1140475.9499999997,339984.17992400716,800491.7700759926,800491.7700759926
1465343.219999999,667464.3344575253,797878.8855424738,797878.8855424738
1355414.0699999996,559831.4369046749,795582.6330953247,795582.6330953247
1237366.400000001,442276.0243500175,795090.3756499835,795090.3756499835
917855.1299999994,122881.5594718508,794973.5705281487,794973.5705281487
1547350.069999999,752967.9131263247,794382.1568736742,794382.1568736742
259391.75000000012,1051516.2878407035,-792124.5378407034,792124.5378407034
988608.43,197703.76846048675,790904.6615395133,790904.6615395133
1050915.200000001,260980.51778997201,789934.6822100289,789934.6822100289
1640826.609999999,852178.982179295,788647.6278207039,788647.6278207039
1868517.1599999988,1082005.8187427511,786511.3412572476,786511.3412572476
43.99999999999999,781725.5100586509,-781681.5100586509,781681.5100586509
943830.52,162425.00649009683,781405.5135099032,781405.5135099032
1496285.870000001,715065.3657368561,781220.5042631449,781220.5042631449
2160810.240000002,1383809.1304577412,777001.1095422609,777001.1095422609
1691877.7800000007,921872.561672553,770005.2183274478,770005.2183274478
1998305.1500000006,1228735.1098956307,769570.0401043699,769570.0401043699
1254741.2299999993,490087.99101818475,764653.2389818146,764653.2389818146
1046488.6100000001,282519.8122759939,763968.7977240062,763968.7977240062
784262.6499999999,20934.472870833615,763328.1771291663,763328.1771291663
1054858.6699999992,293178.5054508013,761680.164549198,761680.164549198
507467.6600000003,1268470.3908418133,-761002.7308418129,761002.7308418129
1162646.5100000002,402276.90127862873,760369.6087213715,760369.6087213715
1334649.8400000003,582863.0048480824,751786.8351519179,751786.8351519179
1192094.19,442688.4280415741,749405.7619584259,749405.7619584259
920689.7699999993,172634.19913514974,748055.5708648496,748055.5708648496
865560.4600000005,119154.39679052269,746406.0632094778,746406.0632094778
1978269.9200000009,1233078.101025915,745191.8189740859,745191.8189740859
1136450.5199999993,399475.43746428215,736975.0825357172,736975.0825357172
1293945.6800000006,559065.5524226521,734880.1275773485,734880.1275773485
835512.4000000001,101637.31827499047,733875.0817250097,733875.0817250097
1278434.9999999995,549505.0186943638,728929.9813056358,728929.9813056358
960707.65,232725.29267275953,727982.3573272405,727982.3573272405
1230116.2100000004,502707.1071502509,727409.1028497496,727409.1028497496
1423966.419999999,696659.8005869131,727306.6194130859,727306.6194130859
266046.06000000006,991636.7493685692,-725590.6893685692,725590.6893685692
2308354.949999999,1583193.8832888482,725161.0667111506,725161.0667111506
1128063.6900000002,404990.9169093662,723072.773090634,723072.773090634
1257220.560000001,535307.6553393492,721912.9046606518,721912.9046606518
1404289.5100000007,684227.8044695874,720061.7055304133,720061.7055304133
1425252.1399999987,707441.2701627782,717810.8698372205,717810.8698372205
1228979.8099999994,511618.3702535677,717361.4397464317,717361.4397464317
1464918.5499999998,747932.4351790232,716986.1148209766,716986.1148209766
2034401.610000001,1318168.2560214095,716233.3539785915,716233.3539785915
800304.1799999995,87224.38470205442,713079.795297945,713079.795297945
1327018.2899999996,615028.035671902,711990.2543280976,711990.2543280976
1159256.7800000003,447531.0919625569,711725.6880374434,711725.6880374434
