actual,predicted,error,abs_error
74012.96000000004,66816.41654659375,7196.543453406281,7196.543453406281
42406.83000000003,26973.832583230847,15432.997416769183,15432.997416769183
80641.67000000001,71814.25819151397,8827.411808486038,8827.411808486038
6457.859999999998,13125.725045174597,-6667.865045174599,6667.865045174599
15538.129999999988,22628.479951300917,-7090.349951300928,7090.349951300928
24220.599999999995,31159.51912444701,-6938.919124447017,6938.919124447017
7095.160000000003,9599.514824532775,-2504.354824532772,2504.354824532772
146826.48,131551.90875322671,15274.571246773296,15274.571246773296
36983.579999999994,45357.75007325622,-8374.170073256224,8374.170073256224
16718.929999999986,25124.324333753033,-8405.394333753047,8405.394333753047
74408.54999999996,39065.48972220743,35343.06027779253,35343.06027779253
21720.570000000003,22691.787099320514,-971.2170993205109,971.2170993205109
10363.560000000003,17139.870946046733,-6776.310946046729,6776.310946046729
94406.99000000005,85169.57642081587,9237.413579184184,9237.413579184184
31337.689999999995,33235.52164054416,-1897.8316405441656,1897.8316405441656
25579.660000000007,22022.58065294591,3557.0793470540957,3557.0793470540957
9620.220000000003,10998.517669833413,-1378.2976698334096,1378.2976698334096
256964.15000000008,133472.23595423513,123491.91404576495,123491.91404576495
68866.57999999999,62368.34233918124,6498.237660818748,6498.237660818748
33278.669999999984,34832.74478937782,-1554.074789377839,1554.074789377839
6532.399999999995,7489.791780830705,-957.3917808307096,957.3917808307096
8653.030000000006,8938.783432805107,-285.7534328051006,285.7534328051006
66836.08999999998,46560.49923749123,20275.59076250875,20275.59076250875
30585.0,19316.110242844825,11268.889757155175,11268.889757155175
6883.989999999996,9561.19884932399,-2677.2088493239935,2677.2088493239935
19851.56000000001,50170.09458818458,-30318.534588184568,30318.534588184568
17339.599999999984,10901.743740217737,6437.856259782247,6437.856259782247
4085.0000000000014,2829.1892563290107,1255.8107436709906,1255.8107436709906
28965.09,30418.091929995364,-1453.0019299953638,1453.0019299953638
16519.559999999998,14798.180949625119,1721.3790503748787,1721.3790503748787
23225.699999999997,18179.436395659082,5046.263604340915,5046.263604340915
46911.06000000002,55932.88105899939,-9021.821058999369,9021.821058999369
41836.55000000002,22806.60295058233,19029.947049417686,19029.947049417686
3929.940000000002,8135.987068214237,-4206.047068214235,4206.047068214235
29624.480000000007,24173.655163273474,5450.824836726533,5450.824836726533
33905.07000000001,42350.85303646757,-8445.783036467561,8445.783036467561
11023.000000000007,8608.175000533301,2414.824999466706,2414.824999466706
50848.29000000002,37316.14602527949,13532.14397472053,13532.14397472053
18914.440000000002,14412.239979975016,4502.200020024986,4502.200020024986
13838.559999999994,11792.32281516369,2046.2371848363036,2046.2371848363036
20789.899999999994,11812.797795880519,8977.102204119476,8977.102204119476
794633.7100000002,446628.5820928351,348005.1279071651,348005.1279071651
22588.99999999999,33319.593463929334,-10730.593463929345,10730.593463929345
172113.90999999986,100648.23124211928,71465.67875788058,71465.67875788058
19005.94,21614.483803716517,-2608.5438037165186,2608.5438037165186
65889.00999999998,71508.45839145014,-5619.448391450162,5619.448391450162
709692.7700000001,198778.99243852342,510913.7775614767,510913.7775614767
22788.879999999986,26600.679856798033,-3811.7998567980467,3811.7998567980467
5468.080000000004,8314.371230015806,-2846.2912300158023,2846.2912300158023
73576.0,64457.48327187589,9118.516728124108,9118.516728124108
10706.029999999999,6391.396676393221,4314.633323606778,4314.633323606778
8084.399999999994,9359.863280160765,-1275.4632801607713,1275.4632801607713
20241.460000000003,23111.682797523357,-2870.2227975233545,2870.2227975233545
94635.99999999997,123517.33677900874,-28881.336779008765,28881.336779008765
44108.000000000015,38280.39594915959,5827.604050840426,5827.604050840426
15751.699999999999,25872.14869183902,-10120.44869183902,10120.44869183902
8399.150000000003,8938.783432805107,-539.6334328051034,539.6334328051034
11751.920000000006,21141.38206119992,-9389.462061199916,9389.462061199916
15468.80000000001,71714.74836277607,-56245.94836277606,56245.94836277606
23372.070000000007,26846.79926191618,-3474.7292619161744,3474.7292619161744
7777.180000000005,8812.79746818926,-1035.6174681892544,1035.6174681892544
33054.85000000002,31485.18853667824,1569.6614633217796,1569.6614633217796
8223.819999999992,13045.456370600454,-4821.636370600461,4821.636370600461
37256.54999999998,68073.00265495469,-30816.452654954708,30816.452654954708
77198.39999999998,43309.76963191412,33888.63036808586,33888.63036808586
78025.85999999997,73645.58483991136,4380.275160088611,4380.275160088611
8687.999999999993,10024.625791748684,-1336.625791748691,1336.625791748691
15137.17000000001,16344.239406891451,-1207.0694068914418,1207.0694068914418
9230.800000000005,8143.5167733548915,1087.2832266451132,1087.2832266451132
7084.630000000006,6631.644891784968,452.98510821503714,452.98510821503714
6403.720000000002,6175.586175345447,228.1338246545547,228.1338246545547
9778.769999999993,11916.375771566225,-2137.605771566232,2137.605771566232
50614.88999999996,37435.142820899935,13179.747179100028,13179.747179100028
20628.629999999994,26456.356825190465,-5827.726825190472,5827.726825190472
16728.760000000002,6883.437942048642,9845.32205795136,9845.32205795136
70585.98999999996,76166.71581583978,-5580.725815839818,5580.725815839818
11854.659999999994,8131.42893740037,3723.2310625996242,3723.2310625996242
43662.39000000001,55094.29015507689,-11431.90015507688,11431.90015507688
74438.36999999998,54286.13268508789,20152.23731491209,20152.23731491209
5459.000000000004,3452.7194827608946,2006.280517239109,2006.280517239109
23474.000000000007,14060.767957369959,9413.232042630048,9413.232042630048
21039.22000000001,28540.078267846537,-7500.858267846528,7500.858267846528
27358.00000000002,19857.393152953035,7500.606847046984,7500.606847046984
34774.31999999999,49426.766985336624,-14652.446985336632,14652.446985336632
